,investigation_type,injury_severity,aircraft_damage,make,model,weather_condition,broad_phase_of_flight,event_year,event_month
9,Accident,0,Substantial,cessna,172,VMC,VMC,2007,12
30,Accident,0,Substantial,cessna,182,VMC,VMC,2007,12
41,Accident,0,Substantial,cessna,152,VMC,VMC,2007,12
73,Accident,0,Substantial,cessna,172,VMC,VMC,2007,12
75,Accident,0,Substantial,cessna,182,VMC,VMC,2007,12
80,Accident,1,Destroyed,cessna,152,VMC,VMC,2007,12
100,Accident,0,Substantial,cessna,152,VMC,VMC,2007,12
105,Accident,0,Substantial,cessna,152,VMC,VMC,2007,11
121,Accident,0,Substantial,cessna,152,VMC,VMC,2007,11
123,Accident,0,Substantial,cessna,152,VMC,VMC,2007,11
142,Accident,0,Substantial,cessna,172,VMC,VMC,2007,11
145,Accident,0,Substantial,cessna,150,VMC,VMC,2007,11
163,Accident,0,Substantial,cessna,180,VMC,VMC,2007,11
168,Accident,0,Substantial,cessna,180,VMC,VMC,2007,11
182,Accident,0,Substantial,cessna,150,VMC,VMC,2007,11
184,Accident,0,Substantial,cessna,152,VMC,VMC,2007,11
195,Accident,0,Substantial,cessna,172,VMC,VMC,2007,11
225,Accident,0,Substantial,cessna,152,VMC,VMC,2007,10
244,Accident,0,Substantial,cessna,172,VMC,VMC,2007,10
251,Accident,0,Substantial,piper,PA-18,VMC,VMC,2007,10
257,Accident,0,Substantial,piper,PA-18,VMC,VMC,2007,10
262,Accident,0,Substantial,cessna,152,VMC,VMC,2007,10
265,Accident,0,Substantial,cessna,152,VMC,VMC,2007,10
277,Accident,0,Substantial,cessna,152,VMC,VMC,2007,10
278,Accident,0,Substantial,cessna,182,VMC,VMC,2007,10
301,Accident,0,Substantial,cessna,172,VMC,VMC,2007,10
365,Accident,0,Substantial,cessna,182,VMC,VMC,2007,10
367,Accident,1,Substantial,piper,PA-18,VMC,VMC,2007,10
399,Accident,0,Substantial,cessna,172,VMC,VMC,2007,9
402,Accident,0,Substantial,cessna,172,VMC,VMC,2007,9
415,Accident,1,Substantial,cessna,180,VMC,VMC,2007,9
425,Accident,0,Substantial,piper,PA-18,VMC,VMC,2007,9
429,Accident,0,Substantial,cessna,172,VMC,VMC,2007,9
483,Accident,0,Substantial,cessna,180,VMC,VMC,2007,9
500,Accident,0,Substantial,piper,PA-18,VMC,VMC,2007,9
515,Accident,0,Substantial,cessna,172,VMC,VMC,2007,9
597,Accident,0,Substantial,cessna,172,IMC,IMC,2007,8
611,Accident,0,Destroyed,cessna,180,VMC,VMC,2007,8
622,Accident,0,Substantial,cessna,152,VMC,VMC,2007,8
638,Accident,0,Substantial,cessna,172,VMC,VMC,2007,8
681,Accident,0,Substantial,cessna,182,VMC,VMC,2007,8
691,Accident,0,Substantial,piper,PA-18,VMC,VMC,2007,8
702,Accident,0,Substantial,cessna,182,VMC,VMC,2007,8
704,Accident,0,Substantial,cessna,180,VMC,VMC,2007,8
725,Accident,0,Substantial,cessna,180,VMC,VMC,2007,8
729,Accident,0,Substantial,piper,PA-18,VMC,VMC,2007,8
756,Accident,0,Substantial,piper,PA-18,VMC,VMC,2007,8
806,Accident,0,Substantial,cessna,182,VMC,VMC,2007,7
858,Accident,0,Substantial,cessna,152,VMC,VMC,2007,7
886,Accident,0,Substantial,cessna,180,VMC,VMC,2007,7
887,Accident,0,Substantial,cessna,180,VMC,VMC,2007,7
934,Accident,0,Substantial,cessna,152,VMC,VMC,2007,7
940,Accident,0,Substantial,cessna,182,VMC,VMC,2007,7
988,Accident,0,Substantial,piper,PA-18,VMC,VMC,2007,7
1006,Accident,0,Substantial,cessna,150,VMC,VMC,2007,6
1007,Accident,0,Substantial,cessna,172,VMC,VMC,2007,6
1010,Accident,0,Substantial,cessna,150,VMC,VMC,2007,6
1049,Accident,0,Substantial,cessna,182,VMC,VMC,2007,6
1083,Accident,0,Substantial,cessna,172,VMC,VMC,2007,6
1108,Accident,1,Substantial,cessna,172,VMC,VMC,2007,6
1180,Accident,0,Substantial,piper,PA-18,VMC,VMC,2007,6
1194,Accident,0,Substantial,cessna,182,VMC,VMC,2007,5
1209,Accident,0,Substantial,piper,PA-18,VMC,VMC,2007,5
1256,Accident,0,Substantial,cessna,150,VMC,VMC,2007,5
1282,Accident,0,Substantial,piper,PA-24,VMC,VMC,2007,5
1285,Accident,0,Substantial,cessna,152,VMC,VMC,2007,5
1294,Accident,0,Substantial,cessna,180,VMC,VMC,2007,5
1297,Accident,0,Substantial,cessna,152,VMC,VMC,2007,5
1325,Accident,0,Substantial,piper,PA-22,VMC,VMC,2007,5
1360,Accident,0,Substantial,cessna,180,VMC,VMC,2007,4
1373,Accident,0,Substantial,cessna,152,VMC,VMC,2007,4
1375,Accident,0,Substantial,piper,PA-18,VMC,VMC,2007,4
1388,Accident,0,Substantial,piper,PA-22,VMC,VMC,2007,4
1433,Accident,0,Destroyed,cessna,152,VMC,VMC,2007,4
1481,Accident,0,Substantial,cessna,152,VMC,VMC,2007,4
1488,Accident,0,Substantial,cessna,150,VMC,VMC,2007,4
1489,Accident,0,Destroyed,cessna,172,VMC,VMC,2007,4
1495,Accident,0,Substantial,cessna,152,VMC,VMC,2007,4
1518,Accident,0,Substantial,piper,PA-22,VMC,VMC,2007,3
1522,Accident,0,Substantial,piper,PA-18,VMC,VMC,2007,3
1541,Accident,0,Substantial,cessna,150,VMC,VMC,2007,3
1549,Accident,0,Substantial,piper,PA-18,VMC,VMC,2007,3
1567,Accident,0,Substantial,cessna,150,VMC,VMC,2007,3
1581,Accident,0,Substantial,cessna,182,VMC,VMC,2007,3
1609,Accident,0,Substantial,cessna,150,VMC,VMC,2007,3
1610,Accident,0,Substantial,cessna,172,VMC,VMC,2007,3
1617,Accident,0,Substantial,cessna,150,VMC,VMC,2007,3
1657,Accident,0,Substantial,cessna,172,VMC,VMC,2007,2
1669,Accident,0,Substantial,cessna,180,VMC,VMC,2007,2
1707,Accident,0,Unknown,cessna,172,VMC,VMC,2007,2
